X,Y,Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Division,Ward_Name,Ward_ID,Hood_ID,Hood_Name,FID
-79.28869029,43.70464538,6914924,1153473,2010,2010-02-18T05:00:00.000Z,18,0,PHARMACY AVE,ST BEDES RD, ,Minor Arterial,Scarborough,43.70464538,-79.28869029,Intersection,At Intersection,No Control,Clear,Dark,Wet,Fatal,SMV Other,Passenger,15 to 19,Fatal,11, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, , , ,D41,Scarborough Southwest (35),35,120,Clairlea-Birchmount (120),11
-79.50792322,43.75927313,80497075,5000976277,2015,2015-06-11T04:00:00.000Z,24,0,FINCH AVE W,TOBERMORY DR, ,Major Arterial,North York,43.75927313,-79.50792322,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Cyclist Collisions,Cyclist,40 to 44,Fatal,28,West,Bicycle,Going Ahead, , , , , ,Cyclist and Driver travelling in same direction. One vehicle rear-ended the other.,Driving Properly,Unknown, ,Yes,Yes, , , , , ,Yes,Yes, ,Yes, ,D31,York West (8),8,25,Glenfield-Jane Heights (25),12
-79.51967249,43.604774079999984,80632485,7000303904,2017,2017-02-18T05:00:00.000Z,29,0,KIPLING AVE,NEW TORONTO ST,112 m North,Major Arterial,Etobicoke York,43.60477408,-79.51967249,Mid-Block,Underpass or Tunnel,No Control,Clear,"Dark, artificial",Dry,Fatal,SMV Other,Driver,30 to 34,Fatal,7,South,Pick Up Truck,Going Ahead,Failed to Yield Right of Way,Had Been Drinking, , , , , , , , ,Yes, , , , ,Yes, ,Yes, , , ,D22,Etobicoke-Lakeshore (6),6,17,Mimico (includes Humber Bay Shores) (17),13
-79.36789332,43.67714651,5363175,1039861,2008,2008-05-24T04:00:00.000Z,30,0,BAYVIEW Aven,BLOOR Ramp, ,Major Arterial,Toronto East York,43.67714651,-79.36789332,Mid-Block, ,No Control,Clear,Dark,Dry,Fatal,SMV Other,Motorcycle Driver,25 to 29,Fatal,21,North,Motorcycle,Going Ahead,Exceeding Speed Limit,Unknown, , , , , , , , , ,Yes, , , , ,Yes,Yes, , , ,D53,Toronto Centre-Rosedale (27),27,98,Rosedale-Moore Park (98),14
-79.35139029,43.65854538,6099927,1149557,2010,2010-01-24T05:00:00.000Z,32,0,QUEEN ST E,MUNRO ST, ,Major Arterial,Toronto East York,43.65854538,-79.35139029,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,35 to 39,Fatal,7,North,Other, , , ,Pedestrian involved in a collision with transit vehicle anywhere along roadway,"Crossing, no Traffic Control",Inattentive, , , ,Yes, , , , ,Yes, , , , , , , ,D55,Toronto-Danforth (30),30,70,South Riverdale (70),15
-79.24749384,43.75510367,80542289,6001039195,2016,2016-06-15T04:00:00.000Z,37,0,LAWRENCE AVE E,VALPARAISO AVE, ,Major Arterial,Scarborough,43.75510367,-79.24749384,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,70 to 74,Fatal,37,South, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Had Been Drinking, , , ,Yes, ,Yes, , , , , , , , , , ,D43,Scarborough Centre (38),38,127,Bendale (127),16
-79.51949029,43.69474538,5380705,1047657,2008,2008-07-12T04:00:00.000Z,38,0,688 SCARLETT RD, , ,Major Arterial,Etobicoke York,43.69474538,-79.51949029,Intersection, ,No Control,Clear,Dark,Dry,Fatal,SMV Other,Driver,25 to 29,Fatal,31,South,"Automobile, Station Wagon",Overtaking,Exceeding Speed Limit,Unknown, , , , , , , , ,Yes, , , , , ,Yes,Yes, , , ,D23,Etobicoke North (2),2,8,Humber Heights-Westmount (8),17
-79.542080019999986,43.59267386,80609330,7000125598,2017,2017-01-21T05:00:00.000Z,40,0,BROWNS LINE,LAKESHORE W BROWNS LI RAMP,20 m North,Major Arterial,Etobicoke York,43.59267386,-79.54208002,Mid-Block,Non Intersection,No Control,"Fog, Mist, Smoke, Dust","Dark, artificial",Wet,Fatal,SMV Other,Driver,20 to 24,Fatal,3,South,Delivery Van,Going Ahead,Lost control,Had Been Drinking, , , , , , , , ,Yes, , , , , , , , , , ,D22,Etobicoke-Lakeshore (6),6,19,Long Branch (19),18
-79.20592127,43.7495838,80790885,7003211588,2017,2017-12-17T05:00:00.000Z,41,0,KINGSTON RD,GUILDWOOD PKWY, ,Major Arterial,Scarborough,43.7495838,-79.20592127,Intersection,At Intersection,Traffic Signal,Other,Dark,Other,Fatal,SMV Other,Driver,50 to 54,Fatal,58,East, ,Going Ahead,Exceeding Speed Limit,Unknown, , , , , , , , , , , , , , ,Yes,Yes, , , ,D43,Scarborough East (43),43,140,Guildwood (140),19
-79.23526392,43.75771292,80488136,5001405584,2015,2015-08-16T04:00:00.000Z,42,0,BELLAMY RD N,LAWRENCE AVE E, ,Major Arterial,Scarborough,43.75771292,-79.23526392,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Angle,Passenger,25 to 29,Fatal,38, , , , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes,Yes,Yes, ,D43,Scarborough Centre (38),38,137,Woburn (137),20
-79.26778803,43.731746279999989,7877499,1381541,2013,2013-10-20T04:00:00.000Z,45,0,KENNEDY RD,EGLINTON AVE E, ,Major Arterial,Scarborough,43.73174628,-79.26778803,Mid-Block, ,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,20 to 24,Fatal,48,East, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown, , , ,Yes, ,Yes, , , , , , , , ,Yes, ,D41,Scarborough Southwest (35),35,125,Ionview (125),21
-79.49179029,43.74364538,4273923,987500,2007,2007-09-02T04:00:00.000Z,48,0,SHEPPARD AVE W,SENTINEL RD, ,Major Arterial,North York,43.74364538,-79.49179029,Intersection, ,Traffic Signal,Clear,Dark,Dry,Fatal,SMV Other,Driver,40 to 44,Fatal,0,East,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown, , , , , , , , ,Yes, , , , , , , , , , ,D31,York Centre (9),9,26,Downsview-Roding-CFB (26),22
-79.43879029,43.63454538,4273854,984625,2007,2007-08-13T04:00:00.000Z,51,0,F G GARDINER XY  E,JAMESON AVE, ,Expressway,Toronto East York,43.63454538,-79.43879029,Mid-Block, ,No Control,Clear,Dark,Dry,Fatal,Rear End,Passenger,0 to 4,Fatal,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, , , , , ,D14,Parkdale-High Park (14),14,85,South Parkdale (85),23
-79.43879029,43.63454538,4273855,984625,2007,2007-08-13T04:00:00.000Z,51,0,F G GARDINER XY  E,JAMESON AVE, ,Expressway,Toronto East York,43.63454538,-79.43879029,Mid-Block, ,No Control,Clear,Dark,Dry,Fatal,Rear End,Passenger,60 to 64,Fatal,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, , , , , ,D14,Parkdale-High Park (14),14,85,South Parkdale (85),24
-79.40189029,43.63604538,5375124,1045221,2008,2008-06-27T04:00:00.000Z,53,0,FLEET ST,STADIUM RD, ,Collector,Toronto East York,43.63604538,-79.40189029,Intersection, ,No Control,Clear,Dark,Dry,Fatal,Approaching,Driver,20 to 24,Fatal,28,West,"Automobile, Station Wagon",Going Ahead,Wrong Way on One Way Road,"Ability Impaired, Alcohol", , , , , , , , ,Yes, , ,Yes, ,Yes,Yes,Yes, ,Yes, ,D14,Trinity-Spadina (19),19,82,Niagara (82),25
-79.34350214,43.692527369999986,80000088,2015466893,2015,2015-03-20T04:00:00.000Z,58,0,262 TORRENS AVE, , ,Local,Toronto East York,43.69252737,-79.34350214,Mid-Block, ,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,85 to 89,Fatal,11,North, , , , ,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Unknown, , , ,Yes, ,Yes, , , , , , , , , , ,D54,Toronto-Danforth (29),29,58,Old East York (58),26
-79.36584101,43.67162665,80000127,2015756531,2015,2015-05-07T04:00:00.000Z,100,1,ROSEDALE VALLEY RD,BAYVIEW AVE, ,Minor Arterial,Toronto East York,43.67162665,-79.36584101,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,SMV Other,Motorcycle Driver,25 to 29,Fatal,20,West,Motorcycle,Going Ahead,Lost control,Unknown, , , , , , , , , ,Yes, , , ,Yes,Yes,Yes, , , ,D51,Toronto Centre-Rosedale (28),28,71,Cabbagetown-South St.James Town (71),27
-79.50359029,43.70214538,6705545,1266990,2011,2011-12-01T05:00:00.000Z,102,1,JANE ST,ELLIS AVE, ,Major Arterial,Etobicoke York,43.70214538,-79.50359029,Intersection, ,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,50 to 54,Fatal,32,Unknown,Other, , , ,Other / Undefined,Other,Unknown, , , ,Yes, ,Yes, , , , , , , , , , ,D12,York South-Weston (12),12,30,Brookhaven-Amesbury (30),28
-79.47024927,43.63478811,7464370,1315100,2012,2012-09-14T04:00:00.000Z,102,1,F G GARDINER XY  E,SOUTH KINGSWAY, ,Expressway,Etobicoke York,43.63478811,-79.47024927,Mid-Block, ,No Control,Clear,"Dark, artificial",Dry,Fatal,SMV Other,Motorcycle Driver,30 to 34,Fatal,31,East,Motorcycle,Going Ahead,Lost control,Had Been Drinking, , , , , , , , ,Yes,Yes, , , , , , , , , ,D11,Parkdale-High Park (13),13,85,South Parkdale (85),29
-79.370800119999984,43.65774115,80496365,5000286208,2015,2015-02-18T05:00:00.000Z,104,1,SHERBOURNE ST,DUNDAS ST E,50 m South of,Major Arterial,Toronto East York,43.65774115,-79.37080012,Mid-Block,Intersection Related,No Control,Clear,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,Pedestrian,55 to 59,Fatal,7,Unknown, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Other, , , ,Yes, ,Yes, , , , , ,Yes,Yes, , , ,D51,Toronto Centre-Rosedale (27),27,73,Moss Park (73),30
-79.229390289999984,43.75684538,6162947,1177627,2010,2010-07-18T04:00:00.000Z,110,1,GREENCEDAR CRCT,DAPHNE RD, ,Collector,Scarborough,43.75684538,-79.22939029,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,SMV Other,Passenger,15 to 19,Fatal,26, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, , , , , ,D43,Scarborough Centre (38),38,137,Woburn (137),31
-79.395633799999985,43.63795813,80609331,7000178103,2017,2017-01-29T05:00:00.000Z,110,1,F G GARDINER XY  E,SPADINA AVE,350 m West,Expressway,Toronto East York,43.63795813,-79.3956338,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,15 to 19,Fatal,4,West, , , , ,Pedestrian hit at mid-block,Walking on Roadway Against Traffic,Other, , , ,Yes, ,Yes, , , , , , , , , , ,D14,Trinity-Spadina (20),20,77,Waterfront Communities-The Island (77),32
-79.443090290000015,43.67794538,6148451,1171250,2010,2010-06-03T04:00:00.000Z,120,1,DUFFERIN ST,ST CLAIR AVE W, ,Major Arterial,Etobicoke York,43.67794538,-79.44309029,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,50 to 54,Fatal,20,West,Other, , , ,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Unknown, , , ,Yes, ,Yes, , , , , , , , , , ,D13,Davenport (17),17,92,Corso Italia-Davenport (92),33
-79.45799029,43.73224538,5795267,1142168,2009,2009-12-15T05:00:00.000Z,122,1,WILSON AVE,DUFFERIN ST, ,Major Arterial,North York,43.73224538,-79.45799029,Mid-Block,At Intersection,No Control,Clear,Dark,Wet,Fatal,SMV Unattended Vehicle,Driver,25 to 29,Fatal,45,West,"Automobile, Station Wagon",Going Ahead,Lost control,Had Been Drinking, , , , , , , , ,Yes, , , , , , , , , , ,D32,York Centre (9),9,33,Clanton Park (33),34
-79.23769029,43.76894538,5204827,1088989,2009,2009-02-13T05:00:00.000Z,125,1,423 BRIMORTON DR, , ,Collector,Scarborough,43.76894538,-79.23769029,Mid-Block, ,No Control,Clear,Dark,Dry,Fatal,SMV Other,Passenger,20 to 24,Fatal,4, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, , , ,Yes, ,D43,Scarborough Centre (38),38,137,Woburn (137),35
-79.362255190000013,43.65608557,80000040,142723818,2014,2014-08-18T04:00:00.000Z,125,1,QUEEN ST E,TRACY ST, ,Major Arterial,Toronto East York,43.65608557,-79.36225519,Intersection, ,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,60 to 64,Fatal,21,Unknown, , , , ,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Unknown, , , ,Yes, ,Yes, , , , , , , , , , ,D51,Toronto Centre-Rosedale (28),28,73,Moss Park (73),36
-79.26706324,43.70870932,80000022,141513588,2014,2014-02-12T05:00:00.000Z,127,1,DANFORTH RD,HIBBERTS DR, ,Minor Arterial,Scarborough,43.70870932,-79.26706324,Intersection, ,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,50 to 54,Fatal,3,Unknown, , , , ,Other / Undefined,Other,Had Been Drinking, , , ,Yes, ,Yes, , , , , , , , , , ,D41,Scarborough Southwest (35),35,120,Clairlea-Birchmount (120),37
-79.44516382,43.79253348,7863370,1375428,2013,2013-09-16T04:00:00.000Z,130,1,STEELES AVE W,BATHURST ST, ,Major Arterial,North York,43.79253348,-79.44516382,Mid-Block, ,No Control,Rain,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,Pedestrian,20 to 24,Fatal,40,North, , , , ,Pedestrian hit at mid-block,Running onto Roadway,Unknown, , , ,Yes, ,Yes, , , , , , , , , , ,D32,York Centre (10),10,36,Newtonbrook West (36),38
-79.31258784,43.66724356,7817617,1355791,2013,2013-05-12T04:00:00.000Z,139,1,QUEEN ST E,EASTERN AVE, ,Minor Arterial,Toronto East York,43.66724356,-79.31258784,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,Pedestrian,60 to 64,Fatal,14,Unknown, , , , ,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Other,Unknown, , , ,Yes, , , , ,Yes, , , , , , , ,D55,Beaches-East York (32),32,63,The Beaches (63),39
-79.38078699,43.79533728,80741716,7000649054,2017,2017-04-13T04:00:00.000Z,144,1,CUMMER AVE,SNOWCREST AVE,150 m East,Collector,North York,43.79533728,-79.38078699,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,SMV Other,Driver,25 to 29,Fatal,17,East,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown, , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, , , ,D33,Willowdale (24),24,49,Bayview Woods-Steeles (49),40
-79.45759029,43.63894538,4142164,957092,2007,2007-03-06T05:00:00.000Z,145,1,F G GARDINER XY  W,PARKSIDE DR, ,Expressway,Etobicoke York,43.63894538,-79.45759029,Mid-Block, ,No Control,Clear,Dark,Dry,Fatal,Rear End,Driver,30 to 34,Fatal,0,West,"Automobile, Station Wagon",Changing Lanes,Improper Lane Change,Unknown, , , , , , , , ,Yes, ,Yes, , , , , , , , ,D11,Parkdale-High Park (13),13,85,South Parkdale (85),41
-79.21985255,43.74297293,80217473,4002817424,2014,2014-09-01T04:00:00.000Z,147,1,EGLINTON AVE E,MARKHAM RD,76 m West of,Major Arterial,Scarborough,43.74297293,-79.21985255,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Passenger,30 to 34,Fatal,26,Unknown, , , , , , , , , , , , , , , ,Yes, ,Yes, , , , , ,D43,Scarborough Southwest (36),36,139,Scarborough Village (139),42
-79.53159029,43.63264538,4405461,952529,2007,2007-02-11T05:00:00.000Z,202,2,KIPLING AVE,ADVANCE RD, ,Major Arterial,Etobicoke York,43.63264538,-79.53159029,Mid-Block,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,15 to 19,Fatal,0,West,Other, , , ,Pedestrian hit at mid-block,Walking on Roadway with Traffic,Unknown, , , ,Yes, ,Yes, , , , , ,Yes,Yes, ,Yes, ,D22,Etobicoke-Lakeshore (5),5,14,Islington-City Centre West (14),43
-79.36018763,43.67014654,7860081,1374005,2013,2013-09-07T04:00:00.000Z,205,2,ROSEDALE VALLEY RD,BAYVIEW AVE, ,Minor Arterial,Toronto East York,43.67014654,-79.36018763,Intersection, ,No Control,Clear,"Dark, artificial",Dry,Fatal,SMV Other,Motorcycle Driver,35 to 39,Fatal,39,East,Motorcycle,Going Ahead,Speed too Fast For Condition,Unknown, , , , , , , , , ,Yes, , , , ,Yes,Yes, , , ,D51,Toronto Centre-Rosedale (28),28,71,Cabbagetown-South St.James Town (71),44
-79.55349029,43.71634538,4187640,977223,2007,2007-06-30T04:00:00.000Z,212,2,BURRARD RD,CAULFIELD RD, ,Local,Etobicoke York,43.71634538,-79.55349029,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,SMV Other,Driver,15 to 19,Fatal,0,North,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Had Been Drinking, , , , , , , , ,Yes, , , , , ,Yes,Yes, , , ,D23,Etobicoke North (2),2,5,Elms-Old Rexdale (5),45
-79.23929029,43.71914538,6258403,1207370,2010,2010-12-14T05:00:00.000Z,216,2,KINGSTON RD,ST QUENTIN AVE, ,Major Arterial,Scarborough,43.71914538,-79.23929029,Mid-Block, ,No Control,Snow,Dark,Packed Snow,Fatal,SMV Other,Driver,20 to 24,Fatal,39,West,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown, , , , , , , , ,Yes, , , , ,Yes, , , , , ,D43,Scarborough Southwest (36),36,123,Cliffcrest (123),46
-79.25018702,43.74106558,80609336,7000203536,2017,2017-02-02T05:00:00.000Z,219,2,BRIMLEY RD,ELGAR AVE, ,Major Arterial,Scarborough,43.74106558,-79.25018702,Intersection,At Intersection,Stop Sign,Clear,Dark,Wet,Fatal,Turning Movement,Driver,25 to 29,Fatal,5,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Unknown, , , , , , , , ,Yes, , , , , , , , , , ,D43,Scarborough Centre (38),38,138,Eglinton East (138),47
-79.38240443,43.6807247,80565103,6001573551,2016,2016-09-05T04:00:00.000Z,220,2,MOUNT PLEASANT RD,ROXBOROUGH DR, ,Major Arterial,Toronto East York,43.6807247,-79.38240443,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,SMV Other,Passenger,25 to 29,Fatal,55, , , , , , , , , , , , , ,Yes, , , , ,Yes, , , ,Yes, ,D53,Toronto Centre-Rosedale (27),27,98,Rosedale-Moore Park (98),48
-79.56859029,43.74624538,4405642,972932,2007,2007-06-02T04:00:00.000Z,226,2,ISLINGTON AVE,FINCH AVE W, ,Major Arterial,Etobicoke York,43.74624538,-79.56859029,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Angle,Driver,15 to 19,Fatal,0,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Unknown, , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,D23,Etobicoke North (1),1,22,Humbermede (22),49
-79.56859029,43.74624538,4405643,972932,2007,2007-06-02T04:00:00.000Z,226,2,ISLINGTON AVE,FINCH AVE W, ,Major Arterial,Etobicoke York,43.74624538,-79.56859029,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Angle,Passenger,15 to 19,Fatal,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,D23,Etobicoke North (1),1,22,Humbermede (22),50
-79.56859029,43.74624538,4405644,972932,2007,2007-06-02T04:00:00.000Z,226,2,ISLINGTON AVE,FINCH AVE W, ,Major Arterial,Etobicoke York,43.74624538,-79.56859029,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Angle,Passenger,15 to 19,Fatal,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, , ,D23,Etobicoke North (1),1,22,Humbermede (22),51
-79.297504520000018,43.72564276,80565930,6001927266,2016,2016-10-30T04:00:00.000Z,227,2,PHARMACY AVE,EGLINTON AVE E, ,Minor Arterial,Scarborough,43.72564276,-79.29750452,Intersection,Intersection Related,No Control,Clear,Dark,Dry,Fatal,SMV Other,Driver,30 to 34,Fatal,67,North,"Automobile, Station Wagon",Going Ahead,Lost control,Had Been Drinking, , , , , , , , ,Yes, , , , , , , , , , ,D41,Scarborough Southwest (35),35,120,Clairlea-Birchmount (120),52
